Name,Title,Place publication,Publisher,Date of publication
02E261AF,"Orwell, George","Selected essays","Oxford","Oxford University Press","2021"
76E2570A,"Orwell, George","England your England","London","Pushkin","2021"
ED80C3AB,"Orwell, George","Inside the whale : on writers and writing","London","Pushkin","2021"
69C98CCC,"Orwell, George","Down and out in Paris and London : The road to Wigan Pier","Ware","Wordsworth","2021"
2D96D08E,"Orwell, George","Why I write","London","Renard Press","2021"
CFBAEC3B,"Orwell, George","The prevention of literature","London","Renard Press","2021"
08922B83,"Orwell, George","Politics and the English language","London","Penguin","2013"
4612EEEB,"Orwell, George","Diaries","London","Harvill Secker","2020"
D1FED3C6,"Orwell, George","All propaganda is lies : 1941-1942","London","Secker","2015"
470F21DA,"Orwell, George","I have tried to tell the truth, 1943-1944","London","Secker","2015"
627945E5,"Orwell, George","Orwell on truth","London","Harvill Secker","2017"
A0BB9182,"Orwell, George","Orwell on truth","London","Vintage Digital","2017"
4A89AD55,"Orwell, George","George Orwell visions of dystopia","London","Flame Tree Collections","2021"
EF36BE44,"Orwell, George","Seeing things as they are : selected journalism and other writings","London","Harvill Secker","2014"
E34A257D,"Orwell, George","I belong to the left : 1945","London","Secker","2015"
75D67437,"Orwell, George","A kind of compulsion : 1903-1936","London","Secker","2015"
242E1584,"Orwell, George","Facing unpleasant facts, 1937-1939","London","Secker","2015"
7882141E,"Stewart, Anthony","George Orwell, doubleness and the value of decency","London","Routledge","2015"
8514396A,"Woloch, Alex","Or Orwell : writing and democratic socialism","Cambridge, Massachusetts","Harvard University","2016"
D9EF9059,"Orwell, George","Seeing things as they are : selected journalism and other writings","London","Penguin","2016"
D9EF9059,"Orwell, George","Seeing things as they are : selected journalism and other writings","London","Penguin","2016"
A7357200,"Orwell, George","Unwelcome guerrilla : George Orwell and the New statesman : an anthology","London","New Statesman","1984"
4E466A6A,"Bounds, Philip","Orwell and Marxism : the political and cultural thinking of George Orwell","London","I.B. Tauris","2016"
8EE568DB,"Brennan, Michael G.","George Orwell and religion","London","Bloomsbury","2017"
904B5DED,"Williams, Ian","Political and cultural perceptions of George Orwell : British and American views","Basingstoke","Palgrave Macmillan","2017"
B9A6946C,"Orwell, George","A life in letters","London","Penguin","2011"
59292901,"Dwan, David","Liberty, equality, and humbug : Orwell's political ideals","Oxford","Oxford University Press","2018"
59292901,"Dwan, David","Liberty, equality, and humbug : Orwell's political ideals","Oxford","Oxford University Press","2018"
22CA6E7E,"Connelly, Mark","George Orwell : a literary companion","Jefferson, North Carolina","McFarland","2018"
C71AE21A,"Ryan, David","George Orwell on screen : adaptations, documentaries and docudramas on film and television","Jefferson, North Carolina","McFarland","2018"
7EA81CD5,"Ingle, Stephen","Orwell reconsidered","London","Routledge","2019"
7EA81CD5,"Ingle, Stephen","Orwell reconsidered","London","Routledge","2019"
1486668D,"Topp, Sylvia","Eileen : the making of George Orwell","London","Unbound","2020"
F5661C27,"Keeble, Richard","Journalism beyond Orwell : a collection of essays","London","Routledge","2020"
F5661C27,"Keeble, Richard","Journalism beyond Orwell : a collection of essays","London","Routledge","2020"
ECB30913,"Topp, Sylvia","Eileen : the making of George Orwell","London","Unbound","2021"
2E864C69,"Orwell, George","Down and out in Paris and London","London","Harvill Secker","2018"
53CB3C6C,"Ricks, Thomas E.","Churchill and Orwell : the fight for freedom","New York","Penguin","2017"
E7FB51AF,"Ricks, Thomas E.","Churchill & Orwell : the fight for freedom","London","Duckworth Overlook","2017"
73088148,"Ricks, Thomas E.","Churchill and Orwell : the fight for freedom","London","Gerald Duckworth","2017"
F3C2179D,"Ricks, Thomas E.","Churchill and Orwell : the fight for freedom","London","Duckworth Overlook","2018"
E6A0FF08,"Orwell, George","Orwell's England","London","Penguin","2020"
55F44E35,"Orwell, George","Orwell and England : selected essays","London","Macmillan","2021"
F9AA0AFC,"Hall, Christopher","'In Spain with Orwell' : George Orwell and the Independent Labour Party volunteers in the Spanish Civil War, 1936-1939","Perth","Tippermuir","2013"
7D129FCD,"Orwell, George","Homage to Catalonia","London","Viking","2013"
F8F7E518,"Orwell, George","Homage to Catalonia","London","Penguin","2003"
ED3C4BB8,"Orwell, George","Homage to Catalonia","London","Harvill Secker","2018"
55A84A4C,"Orwell, George","Orwell in Spain : the full text of Homage to Catalonia with associated articles, reviews and letters from The complete works of George Orwell","London","Penguin","2020"
069F2B15,"Orwell, George","Homage to Catalonia","London","Harper","2021"
385D8821,"Orwell, George","Homage to Catalonia","Oxford","Oxford University Press","2021"
7396CC5F,"Orwell, George","Homage to Catalonia","London","Vintage Classics","2021"
EA0B1118,"Orwell, George","Homage to Catalonia","London","Arcturus","2021"
069F2B15,"Orwell, George","Homage to Catalonia","London","Harper","2021"
069F2B15,"Orwell, George","Homage to Catalonia","London","Harper","2021"
85FBB1EC,"Orwell, George","Homage to Catalonia","London","Macmillan","2021"
72504E3E,"Orwell, George","Homage to Catalonia","London","Arcturus Digital","2021"
3C73B3AB,"Lavoie, Fr̩d̩rick","Orwell in Cuba : how 1984 came to be published in Castro's twilight","Vancouver, British Columbia","Talonbooks","2020"
