7CA61A53,"Name","Title","Place publication","Publisher","Date of publication"
4995113C,"Orwell, George","Unwelcome guerrilla : George Orwell and the New statesman : an anthology","London","New Statesman","1984"
4D390307,"Bounds, Philip","Orwell and Marxism : the political and cultural thinking of George Orwell","London","I.B. Tauris","2016"
EE1F6267,"Brennan, Michael G.","George Orwell and religion","London","Bloomsbury","2017"
17C2DD2D,"Williams, Ian","Political and cultural perceptions of George Orwell : British and American views","Basingstoke","Palgrave Macmillan","2017"
B051C3A6,"Orwell, George","A life in letters","London","Penguin","2011"
D5B63DDB,"Dwan, David","Liberty, equality, and humbug : Orwell's political ideals","Oxford","Oxford University Press","2018"
D5B63DDB,"Dwan, David","Liberty, equality, and humbug : Orwell's political ideals","Oxford","Oxford University Press","2018"
76B714F4,"Connelly, Mark","George Orwell : a literary companion","Jefferson, North Carolina","McFarland","2018"
DB2325B7,"Ryan, David","George Orwell on screen : adaptations, documentaries and docudramas on film and television","Jefferson, North Carolina","McFarland","2018"
8FEA6CA2,"Ingle, Stephen","Orwell reconsidered","London","Routledge","2019"
8FEA6CA2,"Ingle, Stephen","Orwell reconsidered","London","Routledge","2019"
DA7EE846,"Topp, Sylvia","Eileen : the making of George Orwell","London","Unbound","2020"
13AEA3FF,"Keeble, Richard","Journalism beyond Orwell : a collection of essays","London","Routledge","2020"
13AEA3FF,"Keeble, Richard","Journalism beyond Orwell : a collection of essays","London","Routledge","2020"
7F5C842F,"Topp, Sylvia","Eileen : the making of George Orwell","London","Unbound","2021"
8A579E0D,"Orwell, George","Down and out in Paris and London","London","Harvill Secker","2018"
CDD19F87,"Ricks, Thomas E.","Churchill and Orwell : the fight for freedom","New York","Penguin","2017"
16783159,"Ricks, Thomas E.","Churchill & Orwell : the fight for freedom","London","Duckworth Overlook","2017"
64F3CFA1,"Ricks, Thomas E.","Churchill and Orwell : the fight for freedom","London","Gerald Duckworth","2017"
7AA13E15,"Ricks, Thomas E.","Churchill and Orwell : the fight for freedom","London","Duckworth Overlook","2018"
384542DB,"Orwell, George","Orwell's England","London","Penguin","2020"
3D1398E1,"Orwell, George","Orwell and England : selected essays","London","Macmillan","2021"
96515DE5,"Hall, Christopher","'In Spain with Orwell' : George Orwell and the Independent Labour Party volunteers in the Spanish Civil War, 1936-1939","Perth","Tippermuir","2013"
F3D7E377,"Orwell, George","Homage to Catalonia","London","Viking","2013"
B772D1B2,"Orwell, George","Homage to Catalonia","London","Penguin","2003"
82B6289D,"Orwell, George","Homage to Catalonia","London","Harvill Secker","2018"
91DF9A20,"Orwell, George","Orwell in Spain : the full text of Homage to Catalonia with associated articles, reviews and letters from The complete works of George Orwell","London","Penguin","2020"
D33E700D,"Orwell, George","Homage to Catalonia","London","Harper","2021"
3AEE06BF,"Orwell, George","Homage to Catalonia","Oxford","Oxford University Press","2021"
C1F3B6C3,"Orwell, George","Homage to Catalonia","London","Vintage Classics","2021"
44C824CE,"Orwell, George","Homage to Catalonia","London","Arcturus","2021"
D33E700D,"Orwell, George","Homage to Catalonia","London","Harper","2021"
D33E700D,"Orwell, George","Homage to Catalonia","London","Harper","2021"
DA2D88EE,"Orwell, George","Homage to Catalonia","London","Macmillan","2021"
0939DC9C,"Orwell, George","Homage to Catalonia","London","Arcturus Digital","2021"
47461DA5,"Lavoie, Fr̩d̩rick","Orwell in Cuba : how 1984 came to be published in Castro's twilight","Vancouver, British Columbia","Talonbooks","2020"
